iter	RMSE
0	0.4888957427
1	0.4797936096
2	0.4724738399
3	0.4663576969
4	0.4615406353
5	0.4573494771
6	0.453960731
7	0.4511595809
8	0.4488575258
9	0.4469308556
10	0.4452146264
11	0.4438150314
12	0.442616921
13	0.4414921801
14	0.4405956163
15	0.4397262386
16	0.439053213
17	0.438387987
18	0.4378593682
19	0.4373871621
20	0.4369641547
21	0.436480535
22	0.4361343061
23	0.4358088342
24	0.4354963148
25	0.4352269062
26	0.434948327
27	0.4346981828
28	0.4344996176
29	0.4342739358
30	0.4340777539
31	0.4338591469
32	0.4336325639
33	0.4334630725
34	0.4333137011
35	0.4331691121
36	0.4330377388
37	0.4328811789
38	0.4327405686
39	0.4326277604
40	0.4324891702
41	0.4323560501
42	0.4322611341
43	0.4321466468
44	0.4320113858
45	0.4319197872
46	0.4317970976
47	0.4317074756
48	0.4316123061
49	0.4315175203
50	0.43145364
51	0.4313601314
52	0.4312597813
53	0.4311839757
54	0.4311124877
55	0.4310517226
56	0.4309639825
57	0.4308873947
58	0.4308362796
59	0.4307729927
60	0.4306949075
61	0.4306345573
62	0.4305652025
63	0.4305023586
64	0.4304369676
65	0.4303737104
66	0.4303207519
67	0.4302647286
68	0.4301998719
69	0.4301347373
70	0.4300868265
71	0.430048078
72	0.429989474
73	0.4299357066
74	0.429893923
75	0.4298525479
76	0.4298104325
77	0.4297711213
78	0.4297357169
79	0.4296789682
80	0.4296423816
81	0.4295940218
82	0.4295367585
83	0.429502836
84	0.4294546729
85	0.4294085189
86	0.4293513529
87	0.4293191466
88	0.429276708
89	0.4292446281
90	0.4292027189
91	0.4291695361
92	0.4291268885
93	0.4290857038
94	0.4290487897
95	0.4290025352
96	0.4289597994
97	0.4289227639
98	0.4288998153
99	0.4288629474
100	0.4288243457
101	0.4287872799
102	0.4287643137
103	0.4287306033
104	0.4286995453
105	0.4286630948
106	0.4286264454
107	0.4285928058
108	0.4285498147
109	0.4285219928
110	0.4284929127
111	0.4284576501
112	0.4284316941
113	0.4284029791
114	0.4283726666
115	0.428335772
116	0.4283040576
117	0.4282765639
118	0.4282508423
119	0.4282123068
120	0.4281821867
121	0.4281623458
122	0.4281306276
123	0.4281091094
124	0.4280761878
125	0.4280391654
126	0.4280017193
127	0.427975905
128	0.4279402399
129	0.4279148921
130	0.4278824802
131	0.4278546979
132	0.427831928
133	0.4278029992
134	0.4277707532
135	0.4277427024
136	0.4277145233
137	0.4276916489
138	0.427658943
139	0.4276348613
140	0.4276119304
141	0.4275923803
142	0.4275633551
143	0.4275363095
144	0.4275034237
145	0.4274775962
146	0.4274465803
147	0.4274161395
148	0.4273960703
149	0.4273810124
150	0.4273591739
151	0.4273388875
152	0.4273122725
153	0.427293302
154	0.4272662777
155	0.4272437401
156	0.427208996
157	0.4271892601
158	0.4271715003
159	0.4271474356
160	0.4271276385
161	0.4271022373
162	0.4270767495
163	0.427055915
164	0.4270397709
165	0.4270221316
166	0.4269935465
167	0.4269562764
168	0.4269282256
169	0.4268977549
170	0.4268742216
171	0.4268528147
172	0.4268229441
173	0.426796058
174	0.4267775792
175	0.4267451569
176	0.4267256007
177	0.4267002331
178	0.4266765555
179	0.4266547237
180	0.4266272139
181	0.4266143029
182	0.4265990129
183	0.4265799914
184	0.4265663017
185	0.4265486
186	0.4265303763
187	0.4265054433
188	0.4264943345
189	0.4264793445
190	0.4264650567
191	0.4264520296
192	0.4264261047
193	0.4264094616
194	0.4263962541
195	0.4263693652
196	0.4263560609
197	0.4263373564
198	0.4263155108
199	0.4263014362
200	0.4262843397
201	0.4262649596
202	0.4262534382
203	0.426238521
204	0.4262230862
205	0.4262085527
206	0.4261957956
207	0.4261747307
208	0.4261600886
209	0.42613822
210	0.4261215261
211	0.4261051632
212	0.4260890951
213	0.4260694231
214	0.4260592368
215	0.4260417125
216	0.4260242279
217	0.4260045364
218	0.4259875813
219	0.4259765363
220	0.4259670258
221	0.4259417163
222	0.4259308306
223	0.4259128727
224	0.4259011569
225	0.4258870642
226	0.4258644123
227	0.4258521622
228	0.4258278081
229	0.4258151157
230	0.4257963681
231	0.4257731276
232	0.4257501431
233	0.4257276182
234	0.4257011188
235	0.4256852783
236	0.4256687134
237	0.4256533037
238	0.4256358017
239	0.4256228017
240	0.4256076452
241	0.4255940549
242	0.4255768218
243	0.4255646813
244	0.4255483743
245	0.4255332735
246	0.425511713
247	0.4254922144
248	0.4254773958
249	0.425459643
250	0.4254421918
