iter	Passed	Remaining
0	88	88636
1	103	51629
2	117	39173
3	133	33209
4	147	29377
5	161	26750
6	175	24860
7	189	23458
8	203	22408
9	217	21537
10	235	21216
11	249	20528
12	263	19994
13	277	19562
14	291	19153
15	305	18773
16	319	18459
17	333	18167
18	347	17949
19	363	17819
20	379	17674
21	394	17554
22	408	17344
23	422	17196
24	436	17009
25	449	16825
26	464	16722
27	478	16621
28	492	16474
29	506	16370
30	518	16221
31	532	16117
32	546	16004
33	559	15890
34	574	15853
35	588	15759
36	601	15645
37	615	15586
38	629	15511
39	643	15446
40	656	15356
41	668	15255
42	681	15163
43	695	15103
44	708	15045
45	724	15018
46	739	14994
47	752	14920
48	766	14870
49	779	14813
50	793	14756
51	806	14709
52	820	14656
53	833	14608
54	847	14564
55	860	14502
56	874	14467
57	887	14414
58	903	14413
59	917	14366
60	930	14331
61	943	14279
62	957	14243
63	971	14202
64	983	14152
65	997	14110
66	1010	14075
67	1024	14035
68	1036	13990
69	1050	13951
70	1063	13918
71	1076	13871
72	1091	13855
73	1105	13835
74	1117	13787
75	1131	13759
76	1145	13726
77	1158	13693
78	1171	13652
79	1186	13641
80	1204	13664
81	1217	13625
82	1230	13595
83	1243	13561
84	1257	13537
85	1269	13497
86	1284	13483
87	1298	13461
88	1313	13449
89	1326	13412
90	1339	13382
91	1353	13357
92	1366	13330
93	1381	13313
94	1394	13283
95	1407	13255
96	1420	13220
97	1434	13200
98	1447	13175
99	1461	13149
100	1473	13117
101	1487	13095
102	1499	13061
103	1512	13030
104	1525	12998
105	1538	12976
106	1552	12952
107	1566	12936
108	1581	12925
109	1594	12902
110	1607	12876
111	1622	12862
112	1634	12833
113	1648	12811
114	1660	12779
115	1673	12754
116	1687	12739
117	1701	12715
118	1716	12709
119	1731	12699
120	1744	12674
121	1758	12655
122	1774	12652
123	1787	12631
124	1802	12615
125	1824	12656
126	1848	12709
127	1868	12732
128	1888	12749
129	1912	12800
130	1932	12817
131	1953	12845
132	1970	12847
133	1984	12824
134	1997	12801
135	2011	12775
136	2024	12750
137	2037	12728
138	2051	12707
139	2064	12680
140	2077	12654
141	2089	12626
142	2103	12609
143	2119	12600
144	2133	12579
145	2146	12557
146	2161	12541
147	2174	12519
148	2187	12495
149	2200	12469
150	2214	12449
151	2227	12426
152	2241	12409
153	2254	12385
154	2267	12360
155	2280	12335
156	2294	12320
157	2308	12301
158	2321	12278
159	2334	12257
160	2347	12233
161	2365	12238
162	2379	12220
163	2392	12197
164	2405	12172
165	2419	12158
166	2433	12138
167	2447	12121
168	2461	12104
169	2474	12083
170	2488	12062
171	2500	12039
172	2513	12014
173	2527	11999
174	2541	11979
175	2555	11964
176	2567	11940
177	2581	11919
178	2595	11902
179	2610	11891
180	2623	11871
181	2635	11847
182	2649	11826
183	2663	11810
184	2675	11785
185	2688	11764
186	2701	11744
187	2716	11731
188	2728	11707
189	2743	11694
190	2756	11675
191	2771	11661
192	2785	11648
193	2798	11628
194	2814	11619
195	2830	11611
196	2844	11596
197	2859	11582
198	2872	11562
199	2887	11548
200	2901	11532
201	2913	11511
202	2925	11487
203	2938	11467
204	2952	11448
205	2965	11431
206	2978	11411
207	2992	11395
208	3006	11377
209	3020	11361
210	3034	11346
211	3046	11325
212	3060	11307
213	3073	11288
214	3085	11266
215	3099	11248
216	3114	11236
217	3128	11221
218	3140	11201
219	3153	11182
220	3166	11163
221	3180	11145
222	3193	11125
223	3206	11108
224	3220	11091
225	3233	11072
226	3246	11055
227	3259	11036
228	3273	11022
229	3287	11004
230	3300	10987
231	3314	10972
232	3327	10954
233	3341	10939
234	3359	10936
235	3374	10924
236	3388	10908
237	3401	10889
238	3414	10871
239	3428	10856
240	3442	10840
241	3455	10823
242	3469	10807
243	3482	10790
244	3495	10771
245	3509	10755
246	3522	10737
247	3535	10720
248	3548	10701
249	3562	10686
250	3576	10673
251	3590	10657
252	3604	10641
253	3618	10626
254	3631	10608
255	3644	10592
256	3657	10575
257	3670	10555
258	3683	10538
259	3696	10521
260	3712	10511
261	3726	10497
262	3739	10479
263	3753	10463
264	3768	10451
265	3781	10435
266	3795	10420
267	3809	10404
268	3822	10386
269	3835	10369
270	3847	10350
271	3861	10334
272	3874	10318
273	3888	10301
274	3899	10281
275	3913	10265
276	3927	10251
277	3941	10235
278	3955	10221
279	3968	10204
280	3981	10188
281	3993	10167
282	4005	10148
283	4018	10131
284	4033	10119
285	4046	10102
286	4059	10086
287	4073	10070
288	4088	10057
289	4101	10040
290	4115	10027
291	4128	10011
292	4142	9996
293	4155	9979
294	4169	9963
295	4183	9948
296	4196	9931
297	4208	9915
298	4222	9898
299	4235	9882
300	4248	9866
301	4261	9849
302	4274	9833
303	4288	9818
304	4301	9800
305	4314	9784
306	4328	9770
307	4342	9757
308	4356	9741
309	4372	9732
310	4386	9717
311	4398	9699
312	4413	9687
313	4427	9672
314	4440	9656
315	4460	9655
316	4473	9639
317	4489	9627
318	4511	9630
319	4525	9617
320	4538	9600
321	4551	9584
322	4566	9571
323	4580	9557
324	4595	9543
325	4609	9529
326	4623	9515
327	4636	9498
328	4650	9484
329	4663	9467
330	4676	9450
331	4689	9435
332	4707	9429
333	4721	9414
334	4734	9399
335	4750	9387
336	4764	9374
337	4778	9359
338	4791	9342
339	4804	9325
340	4817	9309
341	4830	9293
342	4844	9279
343	4859	9266
344	4871	9249
345	4885	9234
346	4900	9222
347	4914	9206
348	4927	9191
349	4940	9175
350	4955	9161
351	4968	9145
352	4981	9130
353	4995	9115
354	5006	9096
355	5020	9082
356	5035	9069
357	5048	9054
358	5062	9038
359	5075	9023
360	5089	9009
361	5102	8992
362	5115	8976
363	5129	8962
364	5143	8948
365	5157	8934
366	5172	8921
367	5185	8906
368	5201	8895
369	5216	8881
370	5229	8865
371	5242	8849
372	5255	8834
373	5268	8817
374	5281	8802
375	5295	8788
376	5308	8773
377	5321	8756
378	5335	8741
379	5348	8726
380	5362	8711
381	5375	8695
382	5388	8680
383	5401	8664
384	5414	8649
385	5429	8635
386	5442	8620
387	5455	8605
388	5469	8590
389	5481	8574
390	5494	8558
391	5508	8543
392	5523	8531
393	5536	8516
394	5550	8501
395	5564	8486
396	5579	8474
397	5594	8461
398	5609	8449
399	5624	8437
400	5638	8422
401	5651	8406
402	5665	8392
403	5678	8377
404	5694	8365
405	5708	8351
406	5722	8338
407	5736	8324
408	5751	8310
409	5765	8297
410	5779	8282
411	5792	8267
412	5806	8252
413	5820	8239
414	5834	8225
415	5848	8209
416	5862	8195
417	5875	8180
418	5889	8166
419	5903	8152
420	5917	8138
421	5932	8125
422	5945	8109
423	5959	8096
424	5972	8080
425	5987	8067
426	6000	8052
427	6013	8036
428	6027	8022
429	6043	8010
430	6057	7996
431	6070	7981
432	6085	7969
433	6102	7959
434	6116	7944
435	6129	7929
436	6142	7914
437	6156	7899
438	6170	7884
439	6183	7869
440	6198	7857
441	6212	7842
442	6225	7827
443	6239	7813
444	6253	7799
445	6267	7785
446	6282	7771
447	6295	7756
448	6308	7742
449	6321	7726
450	6337	7714
451	6350	7698
452	6364	7685
453	6378	7671
454	6392	7656
455	6405	7641
456	6419	7627
457	6432	7612
458	6446	7597
459	6459	7582
460	6472	7567
461	6484	7551
462	6496	7535
463	6509	7519
464	6523	7504
465	6537	7491
466	6551	7477
467	6566	7464
468	6580	7450
469	6594	7436
470	6608	7422
471	6622	7407
472	6634	7392
473	6647	7376
474	6661	7362
475	6677	7350
476	6693	7338
477	6706	7323
478	6719	7308
479	6734	7295
480	6747	7280
481	6760	7265
482	6773	7250
483	6786	7235
484	6799	7220
485	6812	7205
486	6825	7189
487	6839	7176
488	6853	7161
489	6868	7148
490	6882	7134
491	6896	7120
492	6910	7106
493	6922	7091
494	6936	7076
495	6951	7063
496	6964	7048
497	6979	7035
498	6997	7025
499	7011	7011
500	7026	6998
501	7039	6983
502	7053	6969
503	7068	6955
504	7081	6941
505	7095	6927
506	7110	6913
507	7123	6899
508	7137	6885
509	7151	6871
510	7165	6857
511	7180	6843
512	7192	6828
513	7205	6813
514	7219	6798
515	7234	6785
516	7248	6772
517	7263	6758
518	7277	6745
519	7292	6731
520	7307	6718
521	7324	6706
522	7338	6692
523	7353	6680
524	7367	6665
525	7381	6651
526	7395	6637
527	7408	6622
528	7423	6609
529	7437	6595
530	7451	6581
531	7464	6566
532	7478	6552
533	7491	6537
534	7505	6523
535	7520	6510
536	7533	6495
537	7546	6480
538	7560	6466
539	7575	6453
540	7589	6438
541	7603	6425
542	7618	6411
543	7631	6396
544	7644	6382
545	7658	6367
546	7674	6355
547	7687	6341
548	7700	6325
549	7714	6312
550	7733	6301
551	7748	6288
552	7762	6274
553	7776	6260
554	7790	6246
555	7805	6232
556	7818	6218
557	7831	6203
558	7845	6189
559	7858	6174
560	7873	6161
561	7886	6146
562	7899	6131
563	7914	6118
564	7928	6104
565	7941	6089
566	7955	6075
567	7969	6061
568	7982	6046
569	7996	6032
570	8009	6017
571	8023	6003
572	8038	5990
573	8051	5975
574	8065	5961
575	8080	5948
576	8093	5933
577	8106	5918
578	8120	5904
579	8133	5889
580	8147	5876
581	8161	5861
582	8175	5847
583	8190	5834
584	8205	5820
585	8218	5806
586	8231	5791
587	8244	5777
588	8259	5763
589	8272	5748
590	8287	5735
591	8301	5721
592	8315	5707
593	8332	5695
594	8345	5680
595	8359	5666
596	8373	5652
597	8386	5637
598	8400	5623
599	8414	5609
600	8427	5594
601	8441	5580
602	8454	5566
603	8467	5551
604	8481	5537
605	8494	5523
606	8507	5508
607	8520	5493
608	8534	5479
609	8549	5466
610	8561	5450
611	8573	5435
612	8587	5421
613	8601	5407
614	8614	5392
615	8627	5378
616	8641	5364
617	8655	5350
618	8671	5337
619	8687	5324
620	8700	5310
621	8716	5296
622	8729	5282
623	8743	5268
624	8757	5254
625	8772	5240
626	8785	5226
627	8799	5212
628	8812	5197
629	8826	5183
630	8839	5169
631	8853	5155
632	8867	5140
633	8880	5126
634	8894	5112
635	8909	5098
636	8922	5084
637	8935	5069
638	8948	5055
639	8962	5041
640	8980	5029
641	8994	5015
642	9007	5000
643	9021	4986
644	9034	4972
645	9048	4958
646	9062	4944
647	9077	4930
648	9092	4917
649	9106	4903
650	9120	4889
651	9133	4875
652	9147	4860
653	9161	4846
654	9176	4833
655	9190	4819
656	9203	4805
657	9217	4790
658	9230	4776
659	9243	4761
660	9257	4747
661	9270	4733
662	9283	4718
663	9297	4704
664	9311	4690
665	9325	4676
666	9338	4662
667	9352	4648
668	9365	4633
669	9380	4620
670	9392	4605
671	9407	4591
672	9421	4577
673	9435	4563
674	9449	4549
675	9463	4535
676	9478	4522
677	9491	4507
678	9503	4492
679	9516	4478
680	9531	4464
681	9544	4450
682	9558	4436
683	9571	4421
684	9584	4407
685	9597	4393
686	9611	4379
687	9625	4365
688	9638	4350
689	9651	4336
690	9665	4322
691	9679	4308
692	9693	4294
693	9708	4280
694	9721	4266
695	9734	4251
696	9747	4237
697	9762	4223
698	9776	4209
699	9790	4195
700	9804	4182
701	9817	4167
702	9831	4153
703	9846	4139
704	9859	4125
705	9873	4111
706	9887	4097
707	9902	4083
708	9916	4070
709	9929	4055
710	9943	4041
711	9956	4027
712	9971	4013
713	9985	3999
714	9997	3985
715	10011	3971
716	10024	3956
717	10038	3942
718	10052	3928
719	10066	3914
720	10079	3900
721	10092	3885
722	10105	3871
723	10119	3857
724	10132	3843
725	10145	3828
726	10158	3814
727	10171	3800
728	10185	3786
729	10198	3772
730	10213	3758
731	10227	3744
732	10241	3730
733	10255	3716
734	10269	3702
735	10282	3688
736	10295	3673
737	10308	3659
738	10321	3645
739	10333	3630
740	10348	3617
741	10361	3602
742	10375	3588
743	10389	3574
744	10402	3560
745	10415	3546
746	10428	3532
747	10443	3518
748	10457	3504
749	10471	3490
750	10485	3476
751	10498	3462
752	10511	3448
753	10525	3433
754	10538	3419
755	10551	3405
756	10565	3391
757	10579	3377
758	10594	3364
759	10608	3350
760	10621	3335
761	10635	3321
762	10649	3307
763	10664	3294
764	10676	3279
765	10691	3265
766	10706	3252
767	10719	3238
768	10734	3224
769	10747	3210
770	10761	3196
771	10774	3182
